ID,orig,dest,dist,time,speed
648,7,98,2.19,13.6,9.7
649,7,99,0.93,8.8,6.4
650,7,100,3.22,20.7,9.3
651,7,101,4.32,28.0,9.2
652,7,102,2.29,14.8,9.3
653,7,103,3.06,21.2,8.7
654,7,104,2.0,13.8,8.7
655,7,105,3.13,20.2,9.3
656,7,106,1.66,12.1,8.2
657,7,107,2.02,14.3,8.5
658,7,108,2.79,18.9,8.9
659,7,109,3.09,20.6,9.0
660,7,110,7.25,41.6,10.4
661,7,111,1.85,11.4,9.7
662,7,112,0.87,7.7,6.8
663,7,113,1.7,14.4,7.1
664,7,114,1.88,11.6,9.7
665,7,115,2.93,17.1,10.3
666,7,116,1.88,13.7,8.3
667,7,117,0.83,6.2,8.1
668,7,118,2.65,16.0,9.9
669,7,119,2.33,16.5,8.5
670,7,120,6.19,39.6,9.4
671,7,121,5.54,36.2,9.2
672,7,122,4.97,33.8,8.8
673,7,123,4.85,32.5,8.9
674,7,124,5.32,34.7,9.2
675,7,125,4.3,29.2,8.8
676,7,126,6.0,38.9,9.3
677,7,127,5.66,36.8,9.2
678,7,128,3.83,23.7,9.7
679,7,129,5.71,34.1,10.0
680,7,130,5.29,30.4,10.4
681,7,131,4.9,31.4,9.3
682,7,132,5.51,32.5,10.2
683,7,133,6.01,35.8,10.1
684,7,134,6.73,38.5,10.5
685,7,135,4.9,28.4,10.4
686,7,136,3.75,23.2,9.7
687,7,137,5.86,34.0,10.3
688,7,138,5.7,32.5,10.5
689,7,139,7.08,40.5,10.5
690,7,140,6.88,40.9,10.1
691,7,141,7.1,41.5,10.3
692,7,142,7.53,43.8,10.3
693,7,143,5.67,34.1,10.0
694,7,144,7.14,41.2,10.4
695,7,145,6.43,37.1,10.4
696,8,9,1.4,8.5,9.9
697,8,10,1.72,10.4,9.9
698,8,11,2.48,14.8,10.0
699,8,12,3.71,20.9,10.7
700,8,13,3.81,21.9,10.4
701,8,14,2.66,16.0,10.0
702,8,15,0.99,6.3,9.4
703,8,16,3.45,19.2,10.8
704,8,17,1.52,9.6,9.5
705,8,18,0.95,6.7,8.6
706,8,19,2.13,10.8,11.9
707,8,20,5.95,37.3,9.6
708,8,21,3.05,16.4,11.2
709,8,22,5.45,34.5,9.5
710,8,23,5.3,32.1,9.9
711,8,24,5.96,37.5,9.5
712,8,25,3.57,20.7,10.4
713,8,26,3.99,23.6,10.2
714,8,27,3.95,21.9,10.8
715,8,29,1.21,7.8,9.4
716,8,30,2.85,17.1,10.0
717,8,31,6.32,40.0,9.5
718,8,32,2.56,13.9,11.1
719,8,33,2.11,12.2,10.3
720,8,34,2.48,13.3,11.2
721,8,35,5.18,32.0,9.7
722,8,36,3.23,17.4,11.1
723,8,37,0.63,3.5,10.7
724,8,38,5.35,32.4,9.9
725,8,39,3.88,22.9,10.1
726,8,40,6.11,36.5,10.0
727,8,41,0.69,4.6,9.1
728,8,42,4.51,26.6,10.2
729,8,43,5.72,36.9,9.3
730,8,44,5.68,34.9,9.8
731,8,45,2.75,15.6,10.6
732,8,46,2.89,14.9,11.6
733,8,47,5.66,35.3,9.6
734,8,48,5.71,36.5,9.4
735,8,49,4.97,30.4,9.8
736,8,50,3.4,17.3,11.8
737,8,51,4.35,26.1,10.0
738,8,52,2.89,14.4,12.0
739,8,53,3.03,18.4,9.9
740,8,54,5.17,32.3,9.6
741,8,55,2.78,15.4,10.8
742,8,56,4.56,27.8,9.9
743,8,57,3.28,19.1,10.3
744,8,58,4.15,23.5,10.6
745,8,59,5.27,32.6,9.7
746,8,60,4.56,26.6,10.3
747,8,61,2.91,15.0,11.6
748,8,62,2.2,13.3,10.0
749,8,63,4.89,31.4,9.4
750,8,64,5.71,35.8,9.6
751,8,65,6.82,42.8,9.6
752,8,66,0.73,3.9,11.3
753,8,67,2.63,16.8,9.4
754,8,68,1.95,14.4,8.1
755,8,69,1.33,6.6,12.1
756,8,70,1.74,12.9,8.1
757,8,71,2.97,20.8,8.6
758,8,72,4.18,24.5,10.2
759,8,73,1.91,14.7,7.8
760,8,74,2.51,17.9,8.4
761,8,75,2.15,15.3,8.4
762,8,76,2.62,17.7,8.9
763,8,77,3.62,27.0,8.0
764,8,78,3.23,22.1,8.8
765,8,79,2.67,18.7,8.6
766,8,80,2.84,18.4,9.3
767,8,81,4.91,30.1,9.8
768,8,82,1.95,10.9,10.8
769,8,83,5.26,32.4,9.8
770,8,84,3.97,24.4,9.8
771,8,85,5.73,36.3,9.5
772,8,86,2.1,12.7,9.9
773,8,87,2.02,13.6,8.9
