ID,orig,dest,duration,distance
1852,76,78,602,2568
1853,52,53,266,540
1854,12,18,1678,7343
1855,52,55,164,306
1856,52,54,777,2494
1857,52,57,473,1321
1858,52,56,987,3242
1859,44,138,1438,6652
1860,44,139,1915,8882
1861,44,132,1431,6361
1862,44,133,1634,7163
1863,44,130,1311,6003
1864,44,131,1560,6557
1865,44,136,877,3517
1866,44,137,1526,6919
1867,44,134,1792,8323
1868,44,135,1189,5379
1869,39,109,713,3053
1870,4,72,1340,6448
1871,39,103,537,1989
1872,15,29,291,1255
1873,39,101,819,3124
1874,39,100,362,1515
1875,39,107,957,3589
1876,39,106,833,2991
1877,39,105,532,1938
1878,39,104,849,3094
1879,15,25,1919,8320
1880,4,78,1466,6418
1881,30,69,653,2579
1882,54,100,1053,4132
1883,54,101,1082,4917
1884,54,102,697,2688
1885,54,103,674,2905
1886,54,104,976,4376
1887,54,105,1129,4564
1888,54,106,932,3335
1889,54,107,1005,4406
1890,54,108,1273,5460
1891,54,109,1336,5779
1892,41,60,1255,6016
1893,41,61,740,3709
1894,41,62,635,2580
1895,41,63,1721,6908
1896,41,64,1500,6721
1897,41,65,1920,8505
1898,41,66,240,1002
1899,41,67,845,3259
1900,41,68,836,3449
1901,41,69,381,1693
1902,94,113,685,2671
1903,94,112,698,2842
1904,94,111,320,1349
1905,94,110,2201,10799
1906,64,101,1538,6627
1907,64,100,1101,4771
1908,94,115,406,1754
1909,94,114,331,1407
1910,94,119,1166,4923
1911,94,118,240,905
1912,64,109,1036,4607
1913,64,108,930,4126
1914,101,139,2146,9043
1915,101,138,1859,7427
1916,101,133,1606,6427
1917,101,132,1656,6088
1918,101,131,816,2390
1919,101,130,1536,5840
1920,101,137,1739,7007
1921,101,136,1038,3581
1922,101,135,1507,5862
1923,101,134,2023,8485
1924,30,66,905,4103
1925,130,144,825,3929
1926,130,145,582,2674
1927,130,142,965,4416
1928,130,143,676,2398
1929,130,140,814,3409
1930,130,141,849,3756
1931,5,116,739,2911
1932,49,119,271,1156
1933,49,118,1118,5061
1934,115,129,1611,7563
1935,115,128,965,4403
1936,115,127,2212,9915
1937,49,114,692,2751
1938,115,125,2248,9612
1939,115,124,2578,11250
1940,115,123,2447,10497
1941,115,122,2523,10680
1942,115,121,2673,11570
1943,115,120,2777,12010
1944,22,51,982,3481
1945,81,128,1097,4663
1946,81,129,1565,7016
1947,81,124,1673,7063
1948,81,125,1342,5425
1949,81,126,1850,7475
1950,81,127,1722,6934
1951,81,120,1967,8469
1952,81,121,1761,7416
1953,81,122,1618,6494
1954,81,123,1427,6181
1955,10,79,1151,4539
1956,5,110,1550,6688
1957,10,75,566,2226
1958,10,74,1046,3802
1959,10,77,1873,8088
1960,5,111,1369,5102
1961,102,109,598,2731
1962,10,70,949,3473
1963,10,73,1081,3770
1964,10,72,1054,4917
1965,78,104,2343,9177
1966,42,78,1219,5767
1967,42,79,1375,6453
1968,42,72,1094,5797
1969,42,73,1685,7827
1970,102,108,535,2411
1971,100,140,2522,10210
1972,42,76,1040,4725
1973,42,77,1554,6822
1974,42,74,1649,7859
1975,42,75,931,4201
1976,78,105,2394,9327
1977,9,72,1393,4934
1978,115,134,1787,8654
1979,9,70,914,3951
1980,9,71,1386,5936
1981,9,76,1201,5377
1982,9,77,1758,6971
1983,9,74,1214,5195
1984,115,135,1184,5710
1985,9,78,1463,6350
1986,9,79,1258,5449
1987,115,136,945,4571
1988,115,137,1521,7250
1989,115,130,1306,6334
1990,115,131,1731,7426
1991,57,98,1387,6100
1992,57,99,1034,3975
1993,115,132,1426,6691
1994,57,92,1461,6470
1995,57,93,1050,3770
1996,57,90,1181,4816
1997,57,91,1029,3511
1998,57,96,1255,4763
