ID,orig,dest,duration,distance
5128,16,90,1123,4692
5129,16,93,1221,4723
5130,16,92,1631,7423
5131,107,117,842,3983
5132,45,79,1501,5273
5133,45,78,1700,6952
5134,16,99,761,2441
5135,16,98,1223,5146
5136,135,143,897,3512
5137,135,142,1153,5361
5138,135,141,1037,4701
5139,135,140,1002,4354
5140,135,145,770,3619
5141,135,144,1013,4874
5142,12,133,2011,8495
5143,12,132,1658,6429
5144,12,131,1361,5176
5145,12,130,1491,6015
5146,12,137,1731,7398
5147,12,136,1178,4346
5148,12,135,1313,5030
5149,12,134,2015,8876
5150,12,139,2138,9435
5151,12,138,1789,7203
5152,41,120,1379,6017
5153,41,121,1275,5577
5154,41,122,1193,4893
5155,41,123,1518,6539
5156,41,124,1571,7120
5157,41,125,1328,5709
5158,41,126,771,3306
5159,41,127,315,1476
5160,41,128,1104,4161
5161,41,129,849,3548
5162,18,92,3291,14722
5163,11,18,1230,4939
5164,11,19,460,1720
5165,11,12,516,1997
5166,11,13,963,3628
5167,11,14,171,964
5168,11,15,1212,5006
5169,11,16,792,3397
5170,11,17,1147,5521
5171,12,99,1151,4191
5172,12,98,1517,6855
5173,12,91,1159,4266
5174,12,90,1311,5572
5175,12,93,1198,4156
5176,12,92,1609,6857
5177,12,95,1317,4982
5178,12,94,1668,7416
5179,12,97,1545,6461
5180,12,96,1385,5518
5181,94,143,1341,5348
5182,62,118,2021,8688
5183,62,119,867,3980
5184,62,114,1794,7077
5185,62,115,2083,9149
5186,62,116,1195,5213
5187,62,117,1500,6327
5188,62,110,1119,4656
5189,62,111,1829,7086
5190,62,112,1349,5712
5191,62,113,1447,5684
5203,5,39,645,2344
5204,5,32,407,1827
5205,5,33,665,1775
5206,5,30,325,1575
5207,5,31,1354,5142
5208,5,36,446,1659
5209,5,37,1568,6775
5210,5,34,361,1562
5211,5,35,875,3295
5212,121,139,2797,13081
5213,121,138,2449,10849
5214,121,135,1972,8676
5215,121,134,2674,12522
5216,121,137,2390,11044
5217,121,136,1837,7992
5218,121,131,1707,5905
5219,121,130,2151,9661
5220,121,133,2670,12141
5221,121,132,2317,10075
5222,46,65,1374,5643
5223,46,64,953,3860
5224,46,67,643,1824
5225,46,66,1297,5330
5226,46,61,152,847
5227,46,60,817,3421
5228,46,63,988,3478
5229,46,62,490,2561
5230,46,69,992,3769
5231,46,68,809,2880
5232,21,131,1097,4113
5233,21,130,1228,4952
5234,21,133,1747,7432
5235,21,132,1395,5366
5236,21,135,1049,3967
5237,21,134,1751,7813
5238,21,137,1467,6335
5239,21,136,914,3283
5240,21,139,1874,8372
5241,21,138,1526,6140
5242,104,109,408,1751
5243,104,108,302,1271
5244,8,26,1414,6418
5245,15,17,400,1753
5246,8,27,1315,6360
5247,8,24,2251,9584
5248,13,56,401,1283
5249,13,57,439,1337
5250,13,54,886,3380
5251,13,55,715,2252
5252,13,52,687,2566
5253,13,53,880,2680
5254,19,125,950,3547
5255,13,51,213,791
5256,31,125,1673,6989
5257,19,129,1076,3228
5258,19,128,1130,3757
5259,13,58,1012,3843
5260,13,59,888,3161
5261,93,129,2534,9922
5262,93,128,2129,7651
5263,8,20,2239,9569
5264,93,121,1791,7407
5265,93,120,1894,7847
5266,93,123,1444,5601
5267,93,122,1647,6485
5268,93,125,1440,5644
5269,93,124,1593,6265
5270,93,127,2249,8369
5271,93,126,2222,8749
5272,33,58,574,3143
5273,33,59,1120,4941
5274,33,54,1100,4792
5275,33,55,401,1206
5276,33,56,1139,3934
5277,33,57,625,2012
5278,33,50,757,3350
5279,33,51,990,3502
5280,33,52,344,1391
5281,33,53,603,619
5282,50,79,1468,6751
5283,50,78,1313,6065
5284,79,97,499,2098
5285,50,71,1634,7514
5286,50,70,1646,7828
5287,50,73,1778,8125
5288,50,72,1187,6095
5289,50,75,1024,4499
5290,50,74,1742,8157
5291,50,77,1648,7120
5292,50,76,1133,5023
5293,79,95,388,1649
5294,79,92,3296,13733
5295,79,93,2877,11430
5296,79,90,647,3093
5297,9,31,1718,6943
5298,102,145,2149,8574
5299,102,144,2392,9829
5300,102,141,2417,9656
5301,102,140,2381,9309
5302,102,143,2294,8156
5303,102,142,2532,10316
5304,79,98,1032,4795
5305,104,110,2266,9108
5306,79,99,1474,5675
5307,18,39,1915,7994
5309,18,31,2238,9668
5310,18,30,1190,4955
5311,18,33,988,4122
5312,18,32,1175,4863
5313,18,35,1759,7820
5314,18,34,1216,4714
5315,18,37,439,2317
5316,18,36,1451,6061
5317,104,111,1404,5988
5318,43,85,1173,3942
5319,97,107,2518,10499
5320,97,106,2394,9901
5321,97,105,2293,8130
5322,97,104,2494,10903
5323,97,103,1358,5966
5324,97,102,1884,7905
5325,97,101,1061,4310
5326,97,100,2173,9104
5327,97,109,2480,10613
5328,97,108,2418,10294
5329,48,110,2222,10895
5330,48,111,536,2238
5331,48,112,182,617
5332,48,113,545,1720
5333,48,114,424,1497
5334,48,115,1077,4932
5335,48,116,542,2247
5336,48,117,55,333
5337,48,118,1014,4471
5338,48,119,714,2968
5339,57,59,929,3671
5340,50,139,2209,10287
5341,50,138,1732,8058
5342,43,44,330,1034
5343,43,45,1321,5774
5344,43,46,1235,4486
5345,43,47,324,909
5346,50,131,1329,5834
5347,50,130,1857,8519
5348,50,133,1928,9106
5349,50,132,1726,7766
5350,50,135,1291,5688
5351,50,134,2086,9729
5352,50,137,2061,9686
5353,50,136,1172,4923
5354,18,71,850,3251
5355,47,113,552,1537
5356,7,121,2171,8914
5357,7,120,2377,9967
5358,7,123,1952,7809
5359,7,122,2028,7992
5360,7,125,1752,6923
5361,7,124,2083,8561
5362,7,127,2205,9115
5363,7,126,2335,9656
5364,7,129,2048,9197
5365,7,128,1423,6157
5366,36,99,636,2174
5367,36,98,1098,4878
5368,36,93,1468,5377
5369,36,92,1879,8078
5370,36,91,948,3533
5371,36,90,998,4425
5372,36,97,1366,6152
5373,36,96,1174,4785
5374,36,95,1288,5882
5375,36,94,1249,5439
5376,64,77,1677,7112
5377,98,144,1663,8005
5378,98,145,1415,6872
5379,98,140,1566,6358
5380,98,141,1628,6794
5381,98,142,1743,7397
5382,98,143,1235,5650
5383,88,92,3168,13094
5384,88,93,2748,10791
5385,88,90,518,2454
5386,88,91,305,1194
5387,88,96,283,1301
5388,88,97,487,2100
5389,88,94,1054,4716
5390,88,95,259,1010
5391,88,98,904,4156
5392,88,99,1345,5036
5393,64,79,1498,6743
5404,43,84,1014,4389
5405,70,137,460,2063
5406,70,136,864,3576
5407,70,135,437,1853
5408,70,134,743,3541
5409,70,133,335,1321
5410,70,132,377,1144
5411,70,131,621,2609
5412,70,130,285,1060
5413,70,139,866,4100
5414,70,138,579,2484
5415,8,121,1277,5902
5416,43,86,1751,7389
5417,88,121,2165,8886
5418,88,120,2269,9327
5419,88,123,2045,7838
5420,88,122,2083,8202
5421,88,125,1845,6952
5422,88,124,2175,8590
5423,88,127,1314,5439
5424,88,126,1865,7864
5425,88,129,594,2545
5426,88,128,489,1978
